Forget it.	Lupakannya.
Are you new?	Awak baru?
I'm at home.	Saya sedang berada di rumah.
It is raining.	Hari sedang hujan.
I have no clue.	Saya tiada pembayang langsung.
I'm not pretty.	Saya tak cantik.
I had to resign.	Saya terpaksa meletakkan jawatan.
Please sit down.	Sila duduk.
What can you do?	Apa yang boleh awak lakukan?
I regret nothing.	Saya tak menyesal langsung.
Is that possible?	Bolehkah begitu?
It still happens.	Ia masih berlaku.
Everyone is drunk.	Semua orang mabuk.
Life is enjoyable.	Hidup adalah menyeronokkan.
There is one less.	Seorang tidak cukup.
We believe in God.	Kami percaya kepada Tuhan.
We believe in God.	Kami percaya kepada Allah.
Hold on one second.	Tunggu sebentar.
How was Tom killed?	Bagaimana Tom telah dibunuh?
I'll eat the apple.	Saya akan makan epal itu.
I'm not unemployed.	Saya tidak menganggur
Is there any sugar?	Ada gula?
Real men drink tea.	Lelaki sebenar minum teh.
Are you always busy?	Adakah awak sentiasa sibuk?
I must convince Tom.	Saya mesti meyakinkan Tom.
I'm eating an apple.	Saya sedang makan sebiji epal.
My neck hurts today.	Leher saya sakit hari ini.
We're eating apples.	Kami sedang makan epal.
Why didn't she come?	Mengapa dia tidak datang?
You never showed up.	Tetapi awak tidak datang
He's eating an apple.	Dia sedang makan sebiji epal.
I can't get involved.	Saya tidak boleh terlibat.
I can't get involved.	Saya tidak boleh masuk campur.
I like to eat apples.	Saya suka makan epal.
May I eat this apple?	Bolehkah saya makan epal ini?
Tom isn't very happy.	Tom tidak begitu gembira.
We took a wrong turn.	Kita telah masuk ke simpang yang salah.
When will you return?	Bilakah awak pulang?
When will you return?	Bilakah awak akan kembali?
I'll try to find them.	Saya akan cuba cari.
I'm at home right now.	Saya sedang berada di rumah.
She's eating an apple.	Dia sedang makan sebiji epal.
We love eating apples.	Kami suka makan epal.
We love eating apples.	Saya suka makan epal
Do you know her father?	Awak kenal bapanya?
I know what's going on.	Saya tahu apa yang sedang berlaku.
That happens sometimes.	Ia berlaku kadang-kadang.
What are you doing now?	Awak sedang buat apa?
I want to eat apple pie.	Saya hendak makan pai epal.
I was at home yesterday.	Semalam saya berada di rumah.
I'm fine. How about you?	Saya baik. Bagaimana dengan awak?
I'm here because of Tom.	Saya di sini kerana Tom.
This is so embarrassing.	Ini sungguh memalukan.
Who among us is perfect?	Siapakah antara kita yang sempurna?
Last night I was at home.	Semalam saya berada di rumah.
There's a secret passage.	Terdapat suatu laluan rahsia.
Tom is a little confused.	Tom sedang keliru sedikit.
His temperature is normal.	Suhu dia biasa sahaja
I cannot fix the computer.	Saya tidak boleh membaiki komputer.
My father loves my mother.	Bapa saya mencintai ibu saya.
The results were negative.	Keputusannya adalah negatif.
Tom said you needed a job.	Tom kata awak perlukan pekerjaan.
This song is easy to learn.	Lagu ini adalah mudah untuk dipelajari.
You've got to come with me.	Awak mesti datang bersama saya.
I can't express my feelings.	Saya tidak boleh meluahkan perasaan saya.
My hobby is writing stories.	Hobi saya ialah menulis cerita.
The city was wrapped in fog.	Bandar itu telah diselubungi kabus.
He decided to become a pilot.	Dia memutuskan untuk menjadi juruterbang.
I've got a frog in my throat.	Saya ada katak di dalam tekak saya
Reading classics is not easy.	Membaca karya klasik tidak mudah.
The tree fell down by itself.	Pokok itu tumbang dengan sendirinya.
Tom and Mary are playing Uno.	Tom dan Mary sedang bermain Uno.
Tom goes to school with Mary.	Tom pergi ke sekolah dengan Mary.
Oslo is the capital of Norway.	Oslo ialah ibu negara Norway.
We finally published the book.	Kami akhirnya telah menerbitkan buku itu.
You're respected by everybody.	Awak dihormati oleh semua orang.
I don't want to see your faces.	Saya tidak mahu melihat muka kamu.
I don't want to see your faces.	Saya tidak mahu melihat muka awak.
To start with, who is that man?	Sebagai permulaan, siapakah lelaki itu?
I didn't ask you not to do that.	Saya tidak menyuruh awak untuk tidak melakukan hal itu.
I won't let him come here again.	Saya tidak akan membiarkan dia datang ke sini semula.
Tom suggested that we wait here.	Tom telah mencadangkan agar kita menunggu di sini.
We came here to enjoy ourselves.	Kami datang ke sini untuk kami berseronok.
This information is confidential.	Maklumat ini adalah sulit.
Tom and Mary are playing mahjong.	Tom dan Mary sedang bermain Mahjong.
Tom is getting better bit by bit.	Tom semakin baik sedikit demi sedikit.
We went to the movies last night.	Kami telah pergi menonton wayang itu malam tadi.
The sale will be over in two days.	Jualan akan tamat dalam masa dua hari.
